latitude,longitude,cluster
45.10175879396985,-65.97638190954774,0
45.10175879396985,-65.97437185929648,0
45.10175879396985,-65.97236180904522,0
45.10175879396985,-65.97035175879397,0
45.10175879396985,-65.96834170854272,0
45.10175879396985,-65.96633165829147,0
45.10175879396985,-65.96432160804021,0
45.10175879396985,-65.96231155778895,0
45.10175879396985,-65.9603015075377,0
45.10175879396985,-65.95829145728644,0
45.10175879396985,-65.95628140703518,0
45.10175879396985,-65.95427135678392,0
45.10175879396985,-65.95226130653266,0
45.10175879396985,-65.9502512562814,0
45.10175879396985,-65.94824120603016,0
45.10175879396985,-65.9462311557789,0
45.10175879396985,-65.94422110552765,0
45.10175879396985,-65.94221105527639,0
45.10175879396985,-65.94020100502513,0
45.10175879396985,-65.93819095477387,0
45.10175879396985,-65.93618090452262,0
45.10175879396985,-65.93417085427136,0
45.10175879396985,-65.9321608040201,0
45.10175879396985,-65.93015075376884,0
45.10175879396985,-65.9281407035176,0
45.10175879396985,-65.92613065326634,0
45.10175879396985,-65.92412060301508,0
45.10175879396985,-65.92211055276383,0
45.10175879396985,-65.92010050251257,0
45.10175879396985,-65.91809045226131,0
45.10175879396985,-65.91608040201005,0
45.10175879396985,-65.9140703517588,0
45.10175879396985,-65.91206030150754,0
45.10175879396985,-65.91005025125628,0
45.10175879396985,-65.90804020100504,0
45.10175879396985,-65.90603015075378,0
45.10175879396985,-65.90402010050252,0
45.10175879396985,-65.90201005025126,0
45.10175879396985,-65.9,0
45.1035175879397,-66.3,0
45.1035175879397,-66.29798994974874,0
45.1035175879397,-66.29597989949748,0
45.1035175879397,-66.29396984924622,0
45.1035175879397,-66.29195979899497,0
45.1035175879397,-66.28994974874372,0
45.1035175879397,-66.28793969849247,0
45.1035175879397,-66.28592964824121,0
45.1035175879397,-66.28391959798995,0
45.1035175879397,-66.28190954773869,0
45.1035175879397,-66.27989949748743,0
45.1035175879397,-66.27788944723618,0
45.1035175879397,-66.27587939698492,0
45.1035175879397,-66.27386934673366,0
45.1035175879397,-66.2718592964824,0
45.1035175879397,-66.26984924623116,0
45.1035175879397,-66.2678391959799,0
45.1035175879397,-66.26582914572865,0
45.1035175879397,-66.26381909547739,0
45.1035175879397,-66.26180904522613,0
45.1035175879397,-66.25979899497487,0
45.1035175879397,-66.25778894472361,0
45.1035175879397,-66.25577889447236,0
45.1035175879397,-66.2537688442211,0
45.1035175879397,-66.25175879396984,0
45.1035175879397,-66.2497487437186,0
45.1035175879397,-66.24773869346734,0
45.1035175879397,-66.24572864321608,0
45.1035175879397,-66.24371859296483,0
45.1035175879397,-66.24170854271357,0
45.1035175879397,-66.23969849246231,0
