latitude,longitude,cluster
45.027487,-73.07662599999999,2
45.027487,-73.07259196984924,2
45.027487,-73.06855793969848,2
45.027487,-73.06452390954773,2
45.027487,-73.06048987939698,2
45.027487,-73.05645584924622,2
45.027487,-73.05242181909547,2
45.027487,-73.04838778894471,2
45.027487,-73.04435375879396,2
45.027487,-73.04031972864321,2
45.027487,-73.03628569849245,2
45.027487,-73.0322516683417,2
45.027487,-73.02821763819095,2
45.027487,-73.02418360804019,2
45.027487,-73.02014957788944,2
45.027487,-73.01611554773868,2
45.027487,-73.01208151758793,2
45.027487,-73.00804748743718,2
45.027487,-73.00401345728642,2
45.027487,-72.99997942713567,2
45.027487,-72.99594539698492,2
45.027487,-72.99191136683416,2
45.027487,-72.98787733668341,2
45.027487,-72.98384330653265,2
45.027487,-72.9798092763819,2
45.027487,-72.97577524623115,2
45.027487,-72.97174121608039,2
45.027487,-72.96770718592964,2
45.027487,-72.96367315577889,2
45.027487,-72.95963912562813,2
45.027487,-72.95560509547738,2
45.027487,-72.95157106532662,2
45.027487,-72.94753703517587,2
45.027487,-72.94350300502512,2
45.027487,-72.93946897487436,2
45.027487,-72.93543494472361,2
45.027487,-72.93140091457286,2
45.027487,-72.9273668844221,2
45.027487,-72.92333285427135,2
45.027487,-72.91929882412059,2
45.027487,-72.91526479396984,2
45.027487,-72.91123076381909,0
45.027487,-72.90719673366833,0
45.027487,-72.90316270351758,0
45.027487,-72.89912867336683,0
45.027487,-72.89509464321607,0
45.027487,-72.89106061306532,0
45.027487,-72.88702658291457,0
45.027487,-72.88299255276381,0
45.027487,-72.87895852261306,0
45.027487,-72.8749244924623,0
45.027487,-72.87089046231155,0
45.027487,-72.8668564321608,0
45.027487,-72.86282240201004,0
45.027487,-72.85878837185929,0
45.027487,-72.85475434170854,0
45.027487,-72.85072031155778,0
45.027487,-72.84668628140703,0
45.027487,-72.84265225125627,0
45.027487,-72.83861822110552,0
45.027487,-72.83458419095477,0
45.027487,-72.83055016080401,0
45.027487,-72.82651613065326,0
45.027487,-72.82248210050251,0
45.027487,-72.81844807035175,0
45.027487,-72.814414040201,0
45.027487,-72.81038001005024,0
45.027487,-72.80634597989949,0
45.027487,-72.80231194974874,0
45.027487,-72.79827791959798,1
45.027487,-72.79424388944723,1
45.027487,-72.79020985929648,1
45.027487,-72.78617582914572,1
45.027487,-72.78214179899497,1
45.027487,-72.77810776884421,1
45.027487,-72.77407373869346,1
45.027487,-72.77003970854271,1
45.027487,-72.76600567839195,1
45.027487,-72.7619716482412,1
45.027487,-72.75793761809045,1
45.027487,-72.75390358793969,1
45.027487,-72.74986955778894,1
45.027487,-72.74583552763819,1
45.027487,-72.74180149748743,1
45.027487,-72.73776746733668,1
45.027487,-72.73373343718592,1
45.027487,-72.72969940703517,1
45.027487,-72.72566537688442,1
45.027487,-72.72163134673366,1
45.027487,-72.71759731658291,1
45.027487,-72.71356328643216,1
45.027487,-72.7095292562814,1
45.027487,-72.70549522613065,1
45.027487,-72.70146119597989,1
45.027487,-72.69742716582914,1
45.027487,-72.69339313567839,1
45.027487,-72.68935910552763,1
45.027487,-72.68532507537688,1
45.027487,-72.68129104522613,1
45.027487,-72.67725701507537,1
45.027487,-72.67322298492462,1
45.027487,-72.66918895477386,1
45.027487,-72.66515492462311,1
45.027487,-72.66112089447236,1
45.027487,-72.6570868643216,1
45.027487,-72.65305283417085,1
45.027487,-72.6490188040201,1
45.027487,-72.64498477386934,1
45.027487,-72.64095074371859,1
45.027487,-72.63691671356783,1
45.027487,-72.63288268341708,1
45.027487,-72.62884865326633,1
45.027487,-72.62481462311557,1
45.027487,-72.62078059296482,1
45.027487,-72.61674656281407,1
45.027487,-72.61271253266331,1
45.027487,-72.60867850251256,1
45.027487,-72.6046444723618,1
45.027487,-72.60061044221105,1
45.027487,-72.5965764120603,1
45.027487,-72.59254238190954,1
45.027487,-72.58850835175879,1
45.027487,-72.58447432160804,1
45.027487,-72.58044029145728,1
45.027487,-72.57640626130653,1
45.027487,-72.57237223115578,1
45.027487,-72.56833820100502,1
45.027487,-72.56430417085427,1
